,Households with television,Households with a computer,Internet use,Internet quality,,Internet affordability,Internet application,Information and communications technology trade,,
,,,Individuals using the Internet,Fixed broadband Internet subscriptions,International Internet bandwidth,Fixed broadband Internet sub-basket,Secure Internet servers,"Goods, Exports","Goods, Imports","Services, Exports"
,%,%,% of population,per 100 people,bits per second per Internet user,$ per month,per million people,% of total goods exports,% total goods imports,% of total services exports
,2005-2012,2013,2013,2013,2013,2013,2014,2013,2013,2013
Afghanistan,..,2.5,5.9,0,"5,205",23,1,..,0,65.9
Albania,98,21.7,57.2,5.75,"22,037",11,24,0.4,3,11.1
Algeria,98,26,16.5,3.26,"10,820",20,2,0,4.2,60.5
American Samoa,..,..,..,..,..,..,54,..,..,..
Andorra,..,82.2,94,35.01,"80,575",..,879,..,..,..
Angola,39,9.2,19.1,0.35,"3,373",51,5,..,..,2.9
Antigua and Barbuda,97,53,63.4,17.39,"108,237",55,363,4.9,2.3,6.7
Argentina,..,59.2,59.9,14.57,"44,308",40,53,0.2,8.5,47.1
Armenia,98,49.2,41.9,8.17,"36,562",11,41,0.2,3,10.7
Aruba,82,73.1,78.9,18.66,"67,578",..,338,0.4,5.3,14
Australia,..,83.5,83,25,"67,099",53,"1,349",0.9,8.9,19.7
Austria,97,80.9,80.6,26.26,"58,405",25,"1,268",4.2,5.2,30.6
Azerbaijan,100,48,58.7,18.19,"25,879",13,14,0,2.4,17.2
"Bahamas, The",..,..,72,4.11,"4,048",30,256,0.3,2.9,..
Bahrain,99,93.6,90,22.52,"25,856",27,177,0.6,3.3,21.6
Bangladesh,32,5.7,6.6,0.97,"6,594",4,1,0,3.4,24.6
Barbados,..,69.1,73,23.82,"53,467",43,406,0.7,5.4,..
Belarus,99,54.9,54.2,29.77,"94,797",9,45,0.7,3.6,18.4
Belgium,99,81.9,82.2,34.48,"197,270",33,854,1.7,2.8,44.8
Belize,79,30,33.6,2.98,"35,869",50,210,0.3,2.8,9.8
Benin,25,4.5,4.9,0.41,"3,153",51,2,0,1.6,17.2
Bermuda,..,94,95.3,..,..,..,"6,490",9.6,2.9,41.4
Bhutan,38,19.1,29.9,2.72,"2,750",9,14,15.9,2.4,2
Bolivia,67,32.6,36.9,1.44,"9,634",25,13,0,2.7,10.2
Bosnia and Herzegovina,97,43,57.8,13.48,"36,151",8,36,0.2,2.8,6
Botswana,57,13.5,15,1.07,"6,597",39,11,0.1,2.2,33.8
Brazil,98,48.7,51,10.66,"43,417",14,69,0.5,8.6,54.2
Brunei Darussalam,..,90.6,64.5,6.6,"55,665",52,151,0.1,4.9,..
Bulgaria,98,54.9,53.1,19.68,"128,162",11,177,2.3,4.7,21.3
Burkina Faso,18,4,9.1,0.08,"1,523",45,1,0,1.9,..
Burundi,..,..,1.3,0.02,"6,812",51,1,0.2,1.9,14.1
Cambodia,62,9.3,6.8,0.22,"8,206",12,3,1.2,1.5,8.4
Cameroon,33,8.9,6.4,0.08,"3,166",61,2,0,2.7,26.4
Canada,99,85.6,85.8,34.38,"115,948",46,"1,210",2.1,7.3,42.8
Cabo Verde,74,30.2,37.5,4.25,"11,599",11,51,..,3.9,6.1
Cayman Islands,73,74.3,74.1,34.8,..,..,"2,366",..,..,..
Central African Republic,..,2.9,3.5,0.01,136,585,0,0,5.3,..
Chad,..,2.5,2.3,0.11,539,..,0,..,..,..
Channel Islands,..,..,..,..,..,..,..,..,..,..
Chile,100,57,66.5,13.11,"57,011",38,128,0.4,7.6,26
China,..,43.8,45.8,13.63,"4,951",19,7,27.4,20.5,34.6
"Hong Kong SAR, China",99,81.9,74.2,31.03,"1,762,774",22,791,41.5,38.8,14.8
"Macao SAR, China",95,81.9,65.8,26.8,"74,678",17,339,14.9,14.5,0.6
Colombia,91,42.2,51.7,9.39,"26,019",20,47,0.2,9.9,15.5
Comoros,..,7,6.5,0.18,"8,374",80,1,..,..,22.2
"Congo, Dem. Rep.",14,1.6,2.2,0,539,400,0,..,..,18.4
"Congo, Rep.",47,4.6,6.6,0.01,184,..,2,0,0.6,..
Costa Rica,97,51,46,9.95,"35,726",16,99,21.9,18.5,42.6
Cote d'Ivoire,38,5.6,8.4,0.28,"7,032",36,3,0.1,2.1,29.9
Croatia,97,66.3,66.7,22.26,"40,513",18,220,1.4,5.4,12.7
Cuba,88,12.7,27.9,0.05,373,430,0,..,..,..
Curacao,93,62.7,..,25.2,..,..,195,..,..,..
Cyprus,100,70.3,65.5,20.08,"63,378",21,607,3.9,4.4,15.4
Czech Republic,..,73.9,74.1,26.69,"110,951",21,692,13.1,13.7,32.5
Denmark,98,93.1,94.6,40.34,"261,221",47,"2,081",3.3,7.3,17
Djibouti,..,16.8,9.5,2.03,"10,250",32,10,..,..,..
Dominica,..,37,59,14.81,"61,203",38,429,7.8,4.3,21
Dominican Republic,86,25.6,45.9,5.06,"18,941",21,28,0.9,3.2,6.1
Ecuador,86,35.7,40.4,6.73,"29,767",20,34,0.1,6.6,..
"Egypt, Arab Rep.",97,43.1,29.4,3.26,"7,777",7,5,0.4,3.6,7.1
